field_1,lng,lat,owner,title,tags,taken
26383,15.189444000000000,44.081386999999999,36496883@N08,20150925_200055,,Fri Sep 25 20:00:55 CEST 2015
26384,15.187222000000000,44.083053999999997,36496883@N08,20150925_203337,,Fri Sep 25 20:33:36 CEST 2015
26385,15.187777000000001,44.082222000000002,36496883@N08,20150925_204214,,Fri Sep 25 20:42:13 CEST 2015
26386,15.188055000000000,44.082222000000002,36496883@N08,20150925_204558,,Fri Sep 25 20:45:57 CEST 2015
26387,15.188333000000000,44.080832999999998,36496883@N08,20150925_205036,,Fri Sep 25 20:50:36 CEST 2015
26388,15.189444000000000,44.081665000000001,36496883@N08,20150926_073817,,Sat Sep 26 07:38:17 CEST 2015
26357,15.188055000000000,44.081944000000000,36496883@N08,20150927_191552,,Sun Sep 27 19:15:51 CEST 2015
26358,15.188055000000000,44.081944000000000,36496883@N08,20150927_191559,,Sun Sep 27 19:15:58 CEST 2015
26359,15.189166000000000,44.081386999999999,36496883@N08,20150927_195748,,Sun Sep 27 19:57:47 CEST 2015
26360,15.189444000000000,44.081944000000000,36496883@N08,20150927_195812,,Sun Sep 27 19:58:11 CEST 2015
25980,18.109200999999999,42.641502000000003,98336874@N04,"Velika I Mala Petka, Dubrovnik, Croatia.","dubrovnik;croatia;velikaimalapetka;outside;outdoor;europe;city;village;town;watercourse;water;mountainside;landscape;hill;europeanunion;eu",Thu Oct 01 00:00:00 CEST 2015
25981,18.069944000000000,42.655630000000002,98336874@N04,Velika I Mala Petka Dubrovnik,"dubrovnik;croatia;velikaimalapetka;outside;outdoor;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25982,18.069944000000000,42.655630000000002,98336874@N04,"Dusk, Watery Landscape, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;outdoor;vehicle;boat;sea;landscape;sunset;dusk",Thu Oct 01 00:00:00 CEST 2015
25983,18.069944000000000,42.655630000000002,98336874@N04,"Sky, Lapad Beach, Dubrovnik, Croatia,","lapadbeach;dubrovnik;croatia;europe;city;village;town;outdoor;sky;cloud",Thu Oct 01 00:00:00 CEST 2015
25984,18.109200999999999,42.641502000000003,98336874@N04,"Harbour View Of The Franjo Tudman Bridge, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;adriaticsea;outdoor;vehicle;boat;waterfront;water;mountain;hill;mostdrfranjetudmana;franjotudmanbridge;structure;bridge;building;deckcablestayedbridge;rijekadubrovacka",Thu Oct 01 00:00:00 CEST 2015
25985,18.069944000000000,42.655630000000002,98336874@N04,Sunset Lapad Beach Dubrovnik,"lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25986,18.069944000000000,42.655630000000002,98336874@N04,"Cruise Liner, Water Landscape, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25987,18.109200999999999,42.641502000000003,98336874@N04,"Unesco World Heritage Site, Old Town Harbour, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;oldharbour;europe;city;building;architecture;waterscapes;village;town",Thu Oct 01 00:00:00 CEST 2015
25988,18.069944000000000,42.655630000000002,98336874@N04,"Sunset, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25989,18.109200999999999,42.641502000000003,98336874@N04,"Adriatic Sea, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25990,18.069944000000000,42.655630000000002,98336874@N04,"Sunset, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;outdoor;sunsetsunrise;sea;sunset",Thu Oct 01 00:00:00 CEST 2015
25991,18.069944000000000,42.655630000000002,98336874@N04,"Sunset, Water Landscape,  Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25960,16.393242000000001,43.529125000000001,138244313@N03,P1040359,,Fri Sep 25 16:28:34 CEST 2015
25961,16.390469000000000,43.519694999999999,138244313@N03,P1040358,,Fri Sep 25 16:24:05 CEST 2015
25962,16.402892999999999,43.544730000000001,138244313@N03,P1040373,,Fri Sep 25 17:38:31 CEST 2015
25963,16.401876000000001,43.545099999999998,138244313@N03,P1040369,,Fri Sep 25 16:44:02 CEST 2015
25996,18.109200999999999,42.641502000000003,98336874@N04,"Modern Bridge, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25997,18.069944000000000,42.655630000000002,98336874@N04,"Water Landscape, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;vehicle;boat;outdoor;water",Thu Oct 01 00:00:00 CEST 2015
25998,18.109200999999999,42.641502000000003,98336874@N04,"Distant Sunset, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;outdoor;distantsunset;water;sea",Thu Oct 01 00:00:00 CEST 2015
25999,18.109200999999999,42.641502000000003,98336874@N04,"Canoe's, Lapad Beach, Dubrovnik, Croatia","lapadbeach;dubrovnik;croatia;europe;city;village;town;boats;wall;dinghy;canoes;outdoor",Thu Oct 01 00:00:00 CEST 2015
26000,18.069944000000000,42.655630000000002,98336874@N04,"Sunset, Coastal Landscape, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
26001,18.109200999999999,42.641502000000003,98336874@N04,"Palm Tree, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
26002,18.109200999999999,42.641502000000003,98336874@N04,"Mountain Landscape, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
26003,18.109200999999999,42.641502000000003,98336874@N04,"Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;vehicle;boat;outdoor;waterfront;water;bridge;landscape;mountains;hills",Thu Oct 01 00:00:00 CEST 2015
