lng,lat,owner,title,tags,descriptio,taken
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:51:35 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:51:18 CEST 2009
18.107882,42.64223,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:32:17 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:50:44 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:50:41 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:49:41 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:37:23 CEST 2009
18.09401,42.64518,44491765@N06,09Eur Croatia 12,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 21:33:33 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:36:47 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:35:56 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:42:21 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:35:39 CEST 2009
18.111176,42.641384,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikgradskaluka;dubrovnikoldport,,Thu May 07 12:54:44 CEST 2009
18.114576,42.641148,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikgradskaluka;dubrovnikoldport,,Thu May 07 12:48:01 CEST 2009
18.108236,42.642986,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikcitywalls;dubrovniktvrđavaminčeta,,Thu May 07 14:33:54 CEST 2009
16.624203,43.36731,24150143@N05,Plodovi mora,,,Sat May 09 17:42:39 CEST 2009
18.107882,42.64223,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:33:16 CEST 2009
18.108912,42.642128,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:32:37 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:38:10 CEST 2009
18.107893,42.642704,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwalls;dubrovnikwallwalk,,Thu May 07 14:32:07 CEST 2009
18.109364,42.641148,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:12:47 CEST 2009
18.109364,42.641148,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:12:38 CEST 2009
18.108322,42.640217,44491765@N06,09Eur Dubrovnik 042,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:25:44 CEST 2009
18.109879,42.641987,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:15:19 CEST 2009
18.108322,42.640217,44491765@N06,09Eur Dubrovnik 040,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:12:07 CEST 2009
18.108322,42.640217,44491765@N06,09Eur Dubrovnik 037,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Mon May 11 00:07:43 CEST 2009
18.107399,42.64111,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 13:30:05 CEST 2009
18.108322,42.640217,44491765@N06,09Eur Dubrovnik 034,cruise;mediterranean;croatia;dubrovnik;may112009;hollandamericanoordam,,Sun May 10 23:53:10 CEST 2009
16.388853,43.20117,41769388@N07,Twilight,,,Wed May 13 19:51:45 CEST 2009
15.22087,44.116768,8207213@N04,"Zadar, Pozdrav suncu",riva;croatia;zadar;hrvatska;pozdravsuncu,,Sat May 16 21:32:58 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:40:39 CEST 2009
18.107882,42.64223,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:33:43 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:38:55 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:38:47 CEST 2009
18.110865,42.641205,9777917@N03,"Dubrovnik, Croatia",croatia;dubrovnik;hrvatska;republikahrvatska;dubrovnikgradskaluka;dubrovnikoldport,,Thu May 07 12:44:57 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:38:04 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:38:01 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:37:34 CEST 2009
18.107153,42.64187,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 14:36:27 CEST 2009
18.12344,42.6444,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska,,Thu May 07 15:42:57 CEST 2009
18.107367,42.64215,9777917@N03,"Dubrovnik, Croatia",dubrovnik;croatia;hrvatska;republikahrvatska;dubrovnikwallswalk;dubrovnikredroofs,,Thu May 07 14:35:45 CEST 2009
